Date,Text
2015-05-13,रातभरी मज्जाले सुतेर एकै पटक बिहान सकुशल उठ्नुको मज्जै बेग्लै हुने रैछ। शुभ-प्रभात ।
2015-05-13,रात पनि कटो जसोतसो । काठमाडौंको मौसम हेर्दा बिहानै घनघोर वर्षा हुन सक्छ ।
2015-05-13,आजपनिभुकम्पको डरमान्दैभएनि रातकटियो अबदिनमात मदर फ्रेन्ड्संग जिस्किएरै दिनबिताईछ भुकम्पले नच्यप्टाउन्जेलता रछनी मदर फ्रेन्ड्घुमाउनुपनि।
2015-05-13,@Shikaruketo आज यतिखेसम्मलाई बाँचियो ।
2015-05-13,"खराब निर्णय सहि पाठ सिकाउँछ जिवनमा|-अमृतवाणि||"
2015-05-13,यतिबेला पनि लामखुट्टेको गुन गुन आवाज संगै ट्विटर ।
2015-05-13,"राज्यलाई तिरस्कार, मुलुकलाई माया? https://t.co/8HhVTiA9nO via @setopati"
2015-05-13,"आज विक्रम सम्वत २०७२ साल, बैशाख महिनाको ३१ गते बिहीवार। http://t.co/dLyXTBKGw9"
2015-05-13,@surakshya_ च्यालेन्ज नै हो त ?
2015-05-13,@cooolrims सक्नुहुन्छ फकाउन
2015-05-13,@Abhimanyuth हिजोकी जस्तो समचार होकी साच्चीकै आको हो
2015-05-13,सुत्केरी बिनितालाई घरले च्याप्यो तर उनलाई श्रीमानले बचाउन खोजेनन उल्टै च्यापिएको ठाउँबाट छोरा लिएर गए श्रीमतीलाई मरे http://t.co/v0ssKsi3zL
2015-05-13,@ghamaraj बाँच्चियो है सर । हैन त ? #GMNepal
2015-05-13,अमेरिकन मौसमविद समाजबाट पुरस्कृत अम्बरिश पोखरेलको भूकम्पबारे अत्यन्त जरुरी अपिल http://t.co/2RtoP4tLpd
2015-05-13,छोरी दिदा घर कस्तो छ भनि सोध्ने बाबू लाई युवाहरू अबो छोरी माग्दा घर कस्तो छ भनी उल्टै सोधौ केटी को बाबुलाइ
2015-05-13,@cooolrims हिम्मत त देखाउनुस्
2015-05-13,अहिलेसम्म बाँचपयो । लौ फेरि शुभ प्रभात !
2015-05-13,@surakshya_ म पनि त भित्रै सुतेको हो नि देखिनौ
2015-05-13,"@SamarpanKeshav @cooolrims ब्ल्क छ नि, ठोक्दिनुस्"
2015-05-13,हेली सम्पर्क बिहीन नै रैछ #नेपालबाणी
2015-05-13,"प्रस्नहरु धेरै तेर्सिएका छन जुन भुकम्पले गर्दा, राज्य, सत्ता,सरकार,जनता दातृराष्ट्रहरु, कहाँ  र कसरी परिचालन हुनु पर्थ्यो।"
2015-05-13,'चाहना' र 'आवश्यकता' बिचको भिषण मत-भिन्नतामा पेलिएको जिवन| :((
2015-05-13,@KiroShankhe यसैले अब तपाईहामी सबैले भन्नेबेला भयो #GrowUpNepaliMedia ! @dahalshivaji
2015-05-13,हावा लागेपछि हागा हल्लिनछ त्यसपछि पात।
2015-05-13,आज श्वामरसको बोतल बरमत हुँदा छुट्यो मुखबाट अम्ल रस http://t.co/XG5Ybehf8l
2015-05-13,@surakshya_ तिम्रा बा आमालाई #हल्लाउ युवा आन्दोलन को सहयात्री बनामलानि हुन्न ?:P
2015-05-13,"जनताको अस्पताललाई पनि भूकम्पले भत्कायो
बीर अस्पतालमा अव उपचार गर्न नमिल्ने । बिरामी समेत सारियो http://t.co/VFJDtM5cn9"
2015-05-13,त्यो नेपालवाणी नेटवर्कलाई भुइँचालाले आवाज बन्द गराएछ कि क्या हो । हिजोआज सुन्न पाइन्न ।
2015-05-13,@kandelramesh1 बाँच्चियो । हैन त ? #GMNepal
2015-05-13,@sth388 @DhamalaPradeep ल ल कहाँ आउ त ।।।ठेगना त चाहीयो नि।।।कि यतै अाउने भगवती ।।।।खुवाउने हो चत्पते र पानी पुरी अघाउन्जेल
2015-05-13,"थुईक्क जिन्नगी ! अब त आफ्नै घर भित्र छिर्न पनि रेडी वान , टु थ्रि , गो ,,,,,,,, भन्न पर्ने भो :डी #cp#FB"
2015-05-13,"@Himbasera रोनाल्डोले गोल हान्यो, तेति भए पुगिहाल्यो नि ;)"
2015-05-13,"@bostudi0 मेरो त खुट्टा कामेर सधैं, हल्लेको हल्लेई । ५ रेक्टर भन्दा सानोको त मतलव नै हुन्न । ;-)"
2015-05-13,"चोर कि सभासद??
साला जन्ता खुल्ला आकासमा 
छन ।उसलाई बिस्कुन सुकाउने 
पाल चाइयो रे ।।थुइक्क बुद्धि ।"
2015-05-13,गुड मर्निंग प्रिय मनहरू ! हामी आज पनि घर भित्रै सुत्यौं । आशा गरौं - अब सबैकुरा सामान्य हुनेछ ।
2015-05-13,धन्यवाद दाजै 😃😃@kimigayoOO7
2015-05-13,@surakshya_ गाडी भारा पनि दिने हो ?
2015-05-13,@surakshya_ भो गाली नखाने साली नै नबनाएको अवस्था मा
2015-05-13,यहि  हावाले गर्दा तिमी पनि बाँचेकी छौ भन्ने कहिल्यै नभुल नि 😂😂@acharyasoda
2015-05-13,राधै राधै सा http://t.co/tYdEd9Hi9J
2015-05-13,@sojhoketa2 अब सात जुनी पछिलाई थाँती राख्नेछु र सोही कामना तपाई लाई पनि
2015-05-13,आम्रिकाले पाकिस्थानी सैनिकले हाउसएरेस्टमा राखेको बिनलाडेनलाई पाकिस्थान गुप्तचर लगेर सुटुक्कमारेपछि ठुलै इनकाउन्टरमा मार्योभनेर हल्ला पिटायो
2015-05-13,"@nepali2053  
को हौ र तिमी
भुकम्पेको नातेदार? ?"
2015-05-13,"@bbcnepali सोधाइ नि श्रोता लाई द्दुबिधा पार्नेखालको छ हिजोको bbc मा ""अझै ठुलो भुकम्प को हल्लाहा छ नि सापकोटा जि ?""हल्लाह कहाँ बाट आयो त ?"
2015-05-13,शुभ प्रभात पालबासी तथा भुकम्प पिडितहरु ।
2015-05-13,२००४मा यौटा ५०k टाढाको ताराँ ३२ रेक्टर भुकम्प (Starquake)गथो। यदि त्यो १० प्रकास बर्स टाढा मात्रै भको भए mass extinction हुन्तो रे पृथ्विमा
2015-05-13,"@dhakal_paras कुरा नगरम् भो! ज्यान हल्ल्या छ, हल्लया छ।"
2015-05-13,अम्रिकाको हेलिकप्टेर फेला पर्यो कि नाई  अली शक्तिशाली चुम्बक बोकेर खोज्न पठाए हुने झ्याप्पै टासीन आउथ्यो कि ।।
2015-05-13,"भाग्यमानी भएस 
रोजे जस्तै गलफ्रेन्ड पाएस 😂😂@kimigayoOO7"
2015-05-13,"हेलिकप्टर धेरै भेटिए । झुक्किने भो । अब अगाडि नै नाम पेन्टिनपर्च, 'पैलोपोस्ट हेलिकप्टर' 'सेत्पाति हेलिकप्टर' 'अन्लाईन हेलिकप्टर' अादी !"
2015-05-13,बिहान उठ्ने बित्तिकै हिमाल देख्न पाईयोस यि हातले सधै सधै नेपाल लेख्न पाईयोस
2015-05-13,काठमाडौंमा फेरि भूइँचालो जाने सम्भावना छ कि छैन भन्ने प्रश्न यतिबेला आम राजधानीबासीको चासोको विषय हो http://t.co/bRxWzT7Tn0
2015-05-13,"सायद भुकम्पले त भन्दो हो,""नेपालमा भुकम्प जानु अधीक जरुरी भएरै म जाँदै छु।""
   -भुकम्प जी को ईच्छा"
2015-05-13,"@poudelkovanjo 
तेसोभा त खाइयो ।। हिजै ।
:हिहि))"
2015-05-13,"""म के चाहन्छु र मलाई के चाहिन्छ ?"" मा सानो फरक देखिए पनि जिवनको धेरै कुरा यसैमा निहित हुदाँ रैछन्| फरक जानौँ| #अमृतवाणि॥"
2015-05-13,"कृष्णजि 'अर्काकी बुढि' (गोपिनी) लाइन मार्न सिकाउछन, बुद्द घर छोडेर हिड्न सिकाउछन, शिवजी 'गांजा,भांग' तान्न सिकाउछन,भुईचालोले कुद्न सिकायो रे"
2015-05-13,@cooolrims त्या भन्दा धेरै त मेरा बा आमाको गाली मात्र हो।।
2015-05-13,@sojhoketa2 जदौ दहालजी
2015-05-13,आजको रात नि सकुसल कटाइयो पालमुनि शुभ प्रभात साथिहरु
2015-05-13,"सपनिमा कुरिरह्यो तिम्क आएनौ।
अन्तै ब्यस्त भएउ कि तिमी
म तिर धाएनौ।
सपनिको कुरा छाड ।
बिपनिमा पनि आएनौ।
छिट्टै आइदेउ है। 
#सम्बन्धित_कसैलाइ।"
2015-05-13,म एउटै कुरा मा गर्व गरेको छु त्यो हो मेरो गाउको घर भत्केर र कोठा भन्दा बाहिर बाहिर खुल्ला आकासमा बस्नु परेनी राहतको नाममा केही लिएको छैन!
2015-05-13,अमेरिकाको हराको हेलिकप्टर र हाम्रा अनलाइन हरुले फेला पार्या हेलिकप्टर फरक हुन कि क्या हो :)
2015-05-13,@thekernelspeaks good morning  जय श्री कृष्ण सुप्रभातम् आपका दिन मङ्गलमय रहे। http://t.co/AJTFqmV2C7
2015-05-13,बाउले छोरोसँग घर गोठ लड्यो भनि रुँदै गरेको यो भिडियो मनव संबेदना ख्याल नगरि अपलोड गरिएको छ ! #EarthquakeInNepal https://t.co/af1VXWvNeo
2015-05-13,"आर्यघाटाँ आफै फुटवल हुने उमेर भैसक्दा नी बार्सिलोना को फ्यान र चेल्सी को फ्यान,यती गोल र तेती गोल हान्यो भनेर टुवीटे को देख्दा वाक्क लाग्छ !"
2015-05-13,सुत्केरी बिनितालाई घरले च्याप्यो तर उनलाई श्रीमानले बचाउन खोजेनन उल्टै च्यापिएको ठाउँबाट छोरा लिएर गए श्रीमतीलाई मरे http://t.co/QYbtOrrXPP
2015-05-13,सुत्केरी बिनितालाई घरले च्याप्यो तर उनलाई श्रीमानले बचाउन खोजेनन उल्टै च्यापिएको ठाउँबाट छोरा लिएर गए श्रीमतीलाई मरे http://t.co/iCRWbtbftU
2015-05-13,@bostudi0 यता त खै हल्लाउनै छड्यो । ;-)
2015-05-13,मर्निङ चकचके झापाली 😂@kimigayoOO7
2015-05-13,@dahalshivaji यो समाचार किन आधिकारिक हुन सकेन ? @KiroShankhe
2015-05-13,भूकम्पले दुख र असरहरू छाडेर गयो
2015-05-13,बाख्राले मान्छेजस्तै पाठा जन्माएपछि हेर्नेको घुइचो http://t.co/Bbz1LRAQNa
2015-05-13,तातोपानीकाे स्कुलमा फँसेका ८० जना उद्दारको पखाईमा | मुख्य समाचार http://t.co/opyLhfpLxR
2015-05-13,"मुलुकको राजधानी बनिरहन काठमाडौँ एक्लैले धान्न नसक्ने भो ! विस्तार, विकेन्द्र तर्फ लाग्नै पर्छ अब !!"
2015-05-13,@ssudipokhrel बिल्कुलै सुदिप जि ।। अनि काखमा मस्त सुन्दरी अनि हातमा सिसिको।बोतल लिन पाउँदा भगवानले पनि म भगवान नभन्दो रैछ ।।।
2015-05-13,"उत्तिष्टो उत्तिष्ट गोविन्द उत्तिष्ट गरुडध्वजा 
उत्तिष्ट कमलाकान्त त्रैलोक्यं मंगलम कुरु || http://t.co/1aTGfG6xWq"
2015-05-13,सुर्खेत यात्राको क्रममा  कोहलपुर पुगेको अवस्था ।
2015-05-13,"हिजोको भूकम्पले ज्यान गुमाउनेको संख्या ९१ पुग्यो, दोलखामा मात्र ६० नाघ्यो । Read More News &gt;&gt; http://t.co/f65BsPZrZo"
2015-05-13,"@kewalrai713 
हाहा
धेरै चिल्लो रैछ त 
म पनि दङ्ग परेथेँ ।।"
2015-05-13,भुकम्प आउँछ भनेर रातभर बाहिरै सुतियो तर आएन। धोका पाइयो। :D
2015-05-13,@kimigayoOO7 गुड मर्णिङ ब्रो !!
2015-05-13,हल्लायो फेरि! अब त मरे निद्रा लागे पो! #धादिङ
2015-05-13,"धरहरा मात्र होइन मेरो हिमत्तनि चक्नाचुर भैसक्यो, भगनाबसेश अलिअली बाकी छन्। :("
2015-05-13,@Kanchopokharel @urash04 यो कुरामा सहमत
2015-05-13,"हजुर त नामर्द नै हुनुहुदो रहेछ।
म केटि मान्छे भएर त भित्र सुते"
2015-05-13,भुकम्प प्रधिरोधात्मक घर होइन भुकम्प प्रधिरोधात्मक देश बनाउ भन्ने आवाज उठाउ
2015-05-13,यसो मर्निङ वाकमा निस्केको त धेरैजना घर बाहिर सुतिरहेका।  #त्रास_भुकम्पको
2015-05-13,"यो जमिन हल्लाउने काम पनि कुलरिम्स दाइको काम हो।वाइह्यात भुकम्प को नाम दिन्छन, बिहान हुन पाको छैन हल्लाउ भन्दै आउनु भो :D"
2015-05-13,गुड मनिगं समस्त प्रियजनहरू
2015-05-13,श्रीराम दरबार   । http://t.co/zztR04ed5J
2015-05-13,हराएको अमेरिकी विमान भेटियो।चालक लगायत सबै यात्री सकुसल भेटिएछन्।उता दोलखा तिर पो बसिरारछ😅
2015-05-13,"बिहानीको सूर्यको किरणसंगै तपाईहरू सबैमा शुभ बिहानीको न्यानो
अभिभादन"
2015-05-13,राती भइचालो गएन की मैले पत्तो नपाको हो।।।।
2015-05-13,"भूकम्पपछि राजधानीबाट साढे १३ लाख मानिस बाहिरिए
काठमाडौं लगभग खाली जस्तै देखिन्छ? http://t.co/HEbOx7sTvE"
2015-05-13,भुकम्पबाट बिरक्तिएका जिवनहरु लामखुट्टेको सिकार भए अनि बिरक्तिएर राहत माग्दा नेताहरुबाट पनि तिरस्कारभए तर पनि अझै जिउने आशमा मुटु ढकढक चल्दै।
2015-05-13,यो टिएलको गर्भमा हाम्रो पनि केहि यस्ता ट्विट खाक भएर कहिँ दबे कि चर्को-चर्को आवाजमा उत्खनन टोलिको माग गर्न मन लाउँछ|
2015-05-13,"शुभ प्रभात, शुभ समय, शुभ घडी, शुभ पल, 
अब धक्का महशुस गर्नु नपरोस् 
शुभकामना ।"
2015-05-13,@surakshya_ नाइ न आउने जाबो च्या मात्र खान त
2015-05-13,आजको लागि भुकम्पको के कस्तो हल्ला छ भनिदिनुस त लाग्नुपो पर्यो आफ्नो दैनिकी तर्फ ?
2015-05-13,"हिजोको भूकम्पमा परी मृत्यु हुनेको संख्या ६५ पुग्यो, ११ सयभन्दा बढि मानिस घाइते (अपडेट) http://t.co/aobE8QStXu"
2015-05-13,शुभ​-बिहानी सबै मित्रहरुमा ! आजको दिन भुकम्पबाट साङ्लिएर जाने अवसर बनोस ।
2015-05-13,"भूकम्पमा परी आफन्ति गुमाउनेको पिरलो छ यहाँ
यही पिरलोले बाँचेकाहरुलाई पनी मार्नै आँटीसक्यो।
हावा हुरी असीना पानीले पनी यमराजकै साथ दिए जस्तो."
2015-05-13,"इनलाइ बुझाउन गार्हो हुनीभो भाषाको समस्या छ।।।
इनलाइ नेपाली आउन्न आफ्नो अङ्ग्रेजी त्येही हो ABCD AMLA Z हाहा,,,,तरनी बातचित रमाइलो गइराछ।।।"
2015-05-13,"नेपाल आउन सित्तैमा टिकट,
पुरा पढ्नः http://t.co/rq9jclwCEu"
2015-05-13,मन्त्री बस्नेतले बनाए भूकम्प पीडितलाई ६० घर http://t.co/PObLV3sWZd
2015-05-13,@sabu_s1 यस्तो हल्ला को पछी लाग्नु हुन्न होसियार हुनै पर्छ मुटु दरो बनाएर
2015-05-13,@surakshya_ @sabu_s1 http://t.co/FbVWaFgdEK पूरा पढ्नु होला। @theocean143
2015-05-13,"जिन्दगीमा बाटा 
बदलिन्छन , चाहनाहरु 
बदलिन्छन र सपना पनि बदलिन्छन 
त्यसैले त भन्छन 
world is dynamic 
भनेर ।"
2015-05-13,"यो नानिको एउटा वाक्य ""शरीर काटे सबैको रातो रगत आउँछ "" ले मन कटक्क खायो http://t.co/q5YdXTh5yV"
2015-05-13,"आखाॅ छोपी नरोउ भनि भन्नु पर्या छ
मुटुमाथि ढुङ्गा राखी हाॅस्नु पर्या छ
        स्वर सम्राट नारायण गोपाल"
2015-05-13,"क्रमस कम हुदै गएको भूकम्प भोलि बाट पूर्ण तय रोकिने ,,,सबै नडरौन अमेरिकाको आग्रह - HEALTH... http://t.co/DD2TQcVYqj"
2015-05-13,@dahalshivaji सबै अनलाईनले भेट्याजति हेलिकोप्टरलाई राहतमा खटाम्ने हो भनें त बारिका हरेक पाटामा हेलिकप्टर हुन्थेहोला है ? :D @KiroShankhe
2015-05-13,"सरकारले आफ्ना सैनिक फिर्ता लैजाउ भनेको दिनमै आम्रिकाबाट ३वटा सैनिक जहाजहरु नेपालतिर उड्याथे,पक्कै अस्तिझै हन्गकन्गमा रोकिएका होलान,अब ल्याउन"
2015-05-13,उत्तर कोरियाका रक्षामन्त्रीलार्इ कार्यक्रममा निदाएको भन्दै तोपले हानेर उडाइयो :: Read More News &gt;&gt; http://t.co/ZnIKQkZU93
2015-05-13,अस्ट्रेलिया आएको तिन बर्षमा कार्यालय को नियम ले गर्दा FLU SHOT हानियो । त्यसको भोलि देखि रुघा र ज्वरोले ग्रस्थ । के भको?
2015-05-13,"ल पियारा यतै आउ मेरै पैसा ले चिया खुवाउला, पेट्रोल खर्च पनि दिउला।।"
2015-05-13,@surakshya_ अब मेरो अरु काम छैन नि तिमीलाई लिन आउने त्यों पनि घर छिरन नहुने बेलामा :P
